plant_ID,line,batch,type,pop,no,nod_alive,nod,leaf,fru,flo,root_BM,shoot_BM,seed_BM,date_diss,diss,diss_note,plot,loc,survive,field_notes,line_ID
1-F04,WT18,one,pheno,wt,18,53,57,111,0,0,0.1536,0.6058,0,21-Jul-15,Steffi,4 senesced,plot_1,F04,1,NA,wt18
1-F05,RBE34,two,reference,rbe,34,23,23,27,0,0,0.033,0.0721,0,4-Sep-14,Rebecca,NA,plot_1,F05,1,NA,rbex34
1-F06,KA7,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,F06,1,harv,ka7
1-F07,HTD28,one,reference,htd,28,14,14,33,0,0,0.0223,0.116,0,31-Aug-14,Rebecca,NA,plot_1,F07,1,NA,htd28
1-F08,FZ24,one,pheno,fz,24,141,178,372,20,6,0.2251,1.0393,0.4395,19-Jun-15,Grant,37 senesced,plot_1,F08,1,"inflower,bagged",fz24
1-F09,FOR15,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,F09,1,harv,forx15
1-F10,FZ19,one,pheno,fz,19,71,72,38,0,0,0.1513,0.1667,0,11-Aug-15,Steffi ,NA,plot_1,F10,1,NA,fz19
1-F12,WR31,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,F12,1,harv,wrx31
1-F13,WT18,one,pool,wt,18,4,5,3,0,0,0.0215,0.0633,0,not recorded,Samriti,1 senesced,plot_1,F13,1,harv,wt18
1-F14,HTR30,one,pool,htr,30,25,25,6,0,0,0.0175,0.0564,0,8-Jan-15,Simran,NA,plot_1,F14,1,harv,htr30
1-F15,HTR25,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,F15,1,harv,htr25
1-F16,WR40a,two,pheno,wr,40a,17,17,60,0,0,0.0458,0.0935,0,not recorded,Samriti,NA,plot_1,F16,1,small,wrx40
1-G16,RBE17,one,pheno,rbe,17,4,7,12,0,0,0.0019,0.0045,0,6-Jul-15,Grant,3 senesced,plot_1,G16,0,"herb,died",rbe17
1-G17,DU17,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,G17,0,died,dux17
1-H01,FOR26,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,H01,1,NA,forx26
1-H02,FZ24,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,H02,1,harv,fzx24
1-H03,FOR26,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,H03,1,harv,forx26
1-H04,FOR26,two,reference,for,26,13,13,18,0,0,0.0356,0.0507,0,2-Sep-14,Rebecca,NA,plot_1,H04,1,NA,forx26
1-H05,DE15,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,H05,1,harv,de15
1-H06,WT30,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,H06,1,harv,wt30
1-H07,FOR43,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,H07,1,harv,for43
1-H08,FZ24,one,pheno,fz,24,36,37,93,0,0,0.0595,0.2481,0,2-Jul-15,Andrea and Jessica,1 senesced,plot_1,H08,1,fewleaves,fz24
1-H09,HTD2,one,reference,htd,2,5,5,72,0,0,0.0203,0.1298,0,3-Sep-14,Rebecca,bushy shoot,plot_1,H09,1,short,htd2
1-H10,RBE34,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,H10,0,died,rbex34
1-H12,RBE17,one,pheno,rbe,17,57,61,151,1,1,0.0998,0.3593,0.0113,14-Aug-15,Grant ,NA,plot_1,H12,1,NA,rbe17
1-H13,WR31,two,reference,wr,31,34,34,12,0,0,0.0248,0.0408,0,5-Sep-14,Rebecca,cluster of 3 nodules included in count,plot_1,H13,1,fewleaves,wrx31
1-H14,HTR1,one,pheno,htr,1,18,28,68,0,0,0.0389,0.1321,0,not recorded,Grant,10 senesced,plot_1,H14,1,fewleaves,htr1
1-H15,DU17,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,H15,1,harv,dux17
1-H16,HTR25,one,NA,htr,25,9,13,37,0,0,0.0202,0.0657,0,30-Jul-15,Andrea and Jessica ,NA,plot_1,H16,1,fewleaves,htr25
1-H17,FZ17,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,H17,0,died,fzx17
1-I01,RBE34,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,I01,0,died,rbex34
1-I02,FZ19,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,I02,1,harv,fz19
1-I03,WR40a,two,pheno,wr,40a,16,18,6,0,0,0.0212,0.0189,0,24-Jun-15,Grant,2 senesced,plot_1,I03,1,fewleaves,wrx40
1-I04,WT18,two,pheno,wt,18,45,51,26,0,0,0.0309,0.0643,0,24-Jun-15,Grant,6 senesced,plot_1,I04,0,died,wtx18
1-I05,DU4,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,I05,1,harv,du4
1-I06,AC15,one,pheno,ac,15,1,3,66,21,4,0.0525,0.3805,0.2171,not recorded,Jing Qi,2 senesced,plot_1,I06,1,"postflower,bagged",ac15
1-I07,KA7,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,I07,1,harv,ka7
1-I08,KA7,one,pheno,ka,7,24,28,75,6,0,0.066,0.2135,0.1089,17-Jun-15,Andrea and Jessica,4 senesced,plot_1,I08,1,"postflower,bagged",ka7
1-I09,RBE38,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,I09,1,harv,rbe38
1-I10,HTD2,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,I10,1,harv,htd2
1-I12,AC20,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,I12,1,harv,ac20
1-I13,HTD28,one,pheno,htd,28,12,53,111,0,0,0.1249,0.3295,0,20-Aug-15,Andrea and Jessica ,NA,plot_1,I13,1,NA,htd28
1-I14,FZ17,one,pheno,fz,17,139,162,254,14,7,0.1552,1.2601,0.2826,not recorded,Grant,23 senesced,plot_1,I14,1,"inflower,bagged",fz17
1-I15,RBE34,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,I15,1,harv,rbe34
1-J01,KA7,one,reference,ka,7,11,11,21,0,0,0.0219,0.1003,0,4-Sep-14,Rebecca,"cluster of 4 nodules included in count, many leaves fell off",plot_1,J01,1,NA,ka7
1-J02,RBE34,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,J02,1,harv,rbe34
1-J03,FOR15,two,reference,for,15,24,24,12,0,0,0.0314,0.0782,0,4-Sep-14,Rebecca,"18 stems, many leaves fell off",plot_1,J03,1,NA,forx15
1-J04,WT18,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,J04,1,NA,wtx18
1-J05,FZ24,one,pheno,fz,24,10,11,145,0,1,0.1165,0.4346,0,not recorded,Jing Qi,1 senesced,plot_1,J05,1,NA,fz24
1-J06,HTD2,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,J06,1,harv,htd2
1-J07,DU17,one,reference,du,17,21,21,51,0,0,0.0594,0.2351,0,30-Aug-14,Rebecca,NA,plot_1,J07,1,NA,du17
1-J08,AC3,one,pheno,ac,3,85,85,139,4,0,0.1462,0.3797,0.0411,17-Jun-15,Andrea and Jessica,NA,plot_1,J08,1,NA,ac3
1-J09,WT39,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,J09,1,harv,wtx39
1-J10,DE7,one,pheno,de,7,11,30,30,0,0,0.0724,0.1413,0,20-Aug-15,Andrea and Jessica ,NA,plot_1,J10,1,NA,de7
1-J12,AC15,one,pheno,ac,15,12,19,39,10,5,0.0729,0.8369,0.3921,12-Aug-15,Monika ,NA,plot_1,J12,1,"postflower,bagged",ac15
1-J13,WR31,two,pheno,wr,31,7,8,15,0,0,0.0145,0.0243,0,18-Aug-15,Steffi ,in NB,plot_1,J13,1,fewleaves,wrx31
1-J14,FOR26,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,J14,1,fewleaves,for26
1-J15,WR31,one,pheno,wr,31,71,95,91,7,4,0.0635,0.3058,0.2664,not recorded,Grant,24 senesced,plot_1,J15,1,"inflower,bagged",wr31
1-J16,RBE34,one,pheno,rbe,34,310,341,425,12,0,NA,NA,NA,not recorded,Grant,31 senesced,plot_1,J16,1,"inflower,bagged",rbe34
1-J17,AC3,two,reference,ac,3,25,25,30,0,0,0.0196,0.0705,0,2-Sep-14,Rebecca,NA,plot_1,J17,1,fewleaves,acx3
1-K01,RBE34,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,K01,0,died,rbex34
1-K02,WR34,one,pheno,wr,34,7,8,22,0,0,0.0402,0.1043,0,30-Jul-15,Steffi ,NA,plot_1,K02,1,NA,wr34
1-K03,AC3,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,K03,1,harv,ac3
1-K04,KA16,one,pheno,ka,16,20,20,53,0,0,0.0385,0.1011,0,24-Jun-15,Andrea,NA,plot_1,K04,1,NA,ka16
1-K05,WR40a,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,K05,0,died,wrx40
1-K06,WT30,one,reference,wt,30,34,34,27,0,0,0.04315,0.139,0,31-Aug-14,Rebecca,NA,plot_1,K06,1,fewleaves,wt30
1-K07,FZ19,one,reference,fz,19,48,48,54,0,0,0.0525,0.1959,0,2-Sep-14,Rebecca,NA,plot_1,K07,1,NA,fz19
1-K08,KA24,one,pheno,ka,24,28,31,98,0,0,0.0763,0.2719,0,17-Jun-15,Andrea and Jessica,3 senesced,plot_1,K08,1,fewleaves,ka24
1-K09,FZ19,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,K09,1,harv,fz19
1-K10,WT39,two,reference,wt,39,18,18,27,0,0,0.0113,0.0449,0,2-Sep-14,Rebecca,NA,plot_1,K10,1,small,wtx39
1-K12,WT18,one,pheno,wt,18,14,21,140,0,0,0.0715,0.4165,0,20-Aug-15,Andrea and Jessica ,NA,plot_1,K12,1,large,wt18
1-K13,WR31,two,pheno,wr,31,104,116,36,0,0,0.0534,0.0629,0,14-Aug-15,Grant ,NA,plot_1,K13,1,fewleaves,wrx31
1-K14,WR40a,one,reference,wr,40a,29,29,69,0,0,0.0694,0.2297,0,2-Sep-14,Rebecca,bushy shoots,plot_1,K14,1,fewleaves,wr40
1-K15,WT30,one,pheno,wt,30,15,19,33,0,0,0.0287,0.1054,0,not recorded,Grant,4 senesced,plot_1,K15,1,fewleaves,wt30
1-K16,WR40a,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,K16,0,died,wrx40
1-K17,FZ17,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,K17,0,died,fzx17
1-L17,DU17,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,L17,1,harv,dux17
1-M01,WT18,two,reference,wt,18,7,7,12,0,0,0.0395,0.0125,0,3-Sep-14,Rebecca,NA,plot_1,M01,1,NA,wtx18
1-M02,KA7,one,pheno,ka,7,7,8,32,0,0,0.0129,0.0521,0,25-Jun-15,Grant,1 senesced,plot_1,M02,1,NA,ka7
1-M03,WT18,two,pheno,wt,18,17,18,19,0,0,0.0209,0.0431,0,24-Jun-15,Andrea,1 senesced,plot_1,M03,1,NA,wtx18
1-M04,FOR15,two,pheno,for,15,4,8,21,0,0,0.0091,0.026,0,19-Jun-15,Grant,4 senesced,plot_1,M04,1,noleaves,forx15
1-M05,KA7,one,pheno,ka,7,41,48,55,0,0,0.0628,0.1492,0,24-Jun-15,Andrea,7 senesced,plot_1,M05,1,NA,ka7
1-M06,WT18,one,pheno,wt,18,4,4,2,0,0,0.0164,0.0541,0,not recorded,Samriti,NA,plot_1,M06,1,harv,wt18
1-M07,KA7,one,pheno,ka,7,12,14,26,0,0,0.0298,0.0698,0,17-Jun-15,Andrea and Jessica,2 senesced,plot_1,M07,1,fewleaves,ka7
1-M08,HTD2,one,pheno,htd,2,17,20,87,0,0,0.0437,NA,NA,17-Jun-15,Andrea and Jessica,3 senesced,plot_1,M08,1,"herb,short",htd2
1-M09,FOR26,two,pheno,for,26,10,19,6,0,0,0.0121,0.0127,0,not recorded,Grant,9 senesced,plot_1,M09,1,"herb,fewleaves",forx26
1-M10,WR31,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,M10,1,harv,wrx31
1-M12,DE15,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,M12,1,harv,de15
1-M13,FOR15,one,pheno,for,15,62,64,61,0,0,0.1516,0.3451,0,11-Aug-15,Steffi ,in notebook,plot_1,M13,1,fewleaves,for15
1-M14,WR31,two,pheno,wr,31,11,13,17,0,0,0.0216,0.0357,0,not recorded,Grant,2 senesced,plot_1,M14,1,fewleaves,wrx31
1-M15,WR40a,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,M15,0,died,wrx40
1-M16,DU4,one,pheno,du,4,74,74,86,0,0,0.0834,0.3289,0,30-Jul-15,Andrea and Jessica ,NA,plot_1,M16,1,fewleaves,du4
1-M17,DE15,two,pheno,de,15,8,12,15,0,0,0.0188,0.051,0,not recorded,Grant,4 senesced,plot_1,M17,1,small,dex15
1-N15,DU17,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,N15,0,died,dux17
1-N16,DU4,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,N16,0,died,dux4
1-N17,FOR43,two,reference,for,43,8,8,6,0,0,0.0097,0.0092,0,4-Sep-14,Rebecca,NA,plot_1,N17,1,noleaves,forx43
1-O01,RBE17,one,reference,rbe,17,5,5,18,0,0,0.0143,0.0249,0,4-Sep-14,Rebecca,NA,plot_1,O01,1,NA,rbe17
1-O02,WR34,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,O02,1,noleaves,wrx34
1-O03,FOR15,two,pheno,for,15,19,27,14,0,0,0.0216,0.0231,0,24-Jun-15,Grant,8 senesced,plot_1,O03,1,small,forx15
1-O04,RBE17,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,O04,1,harv,rbex17
1-O05,DE15,one,pheno,de,15,13,21,18,0,0,0.0211,0.0465,0,19-Jun-15,Grant,8 senesced,plot_1,O05,1,fewleaves,de15
1-O06,HTR30,one,pheno,htr,30,50,55,149,0,0,0.0765,0.2851,0,24-Jun-15,Grant,5 senesced,plot_1,O06,1,fewleaves,htr30
