"position","block","line","pop","survival","leaf","nod","plant_ID","shoot","root","choice","totalred","env","dataset","diss","flo","fru","fru_bin"
"M05","one","RBE38","RBE",1,164,44,"3-M05",NA,NA,NA,NA,"plot_3","KSR-field","Steffi",0,6,1
"O04","one","HTD2","HTD",1,294,43,"3-O04",1225.4,157.3,NA,NA,"plot_3","KSR-field","Andrea and Jessica",0,10,1
"B09","one","HTR25","HTR",1,104,49,"NR-06",392.2,70.8,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,3,1
"N15","one","FOR43","FOR",1,274,75,"NR-08",1774.5,177.4,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,11,1
"N08","two","FZ17","FZ",1,0,6,"NR-35",NA,NA,NA,NA,"plot_2","KSR-field","Madeline",0,9,1
"J01","two","AC15","AC",1,90,22,"NR-52",NA,NA,NA,NA,"plot_2","KSR-field","Samriti",2,3,1
"J09","one","HTR25","HTR",1,82,22,"NR-62",NA,NA,NA,NA,"plot_2","KSR-field","Steffi",4,5,1
"K10","one","KA16","KA",1,157,69,"NR-63",639.3,127,NA,NA,"plot_2","KSR-field","Steffi",2,4,1
"C09","one","HTD2","HTD",1,123,45,"NR-65",NA,NA,NA,NA,"plot_2","KSR-field","Steffi",3,21,1
"F05","one","KA16","KA",1,122,8,"NR-69",NA,NA,NA,NA,"plot_2","KSR-field","Steffi",7,3,1
