"position","block","line","pop","survival","leaf","nod","plant_ID","shoot","root","choice","totalred","env","dataset","diss","flo","fru"
"40","4","WR40a","WR",0,3,0,"1177-40",3.646,2.1667,NA,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","AC15","AC",0,2,13,"1158-40",6.9396,2.2233,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","DU4","DU",0,3,2,"941-33",6.8244,2.2348,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"17","2","RBE34","RBE",0,3,3,"500-17",3.6415,2.2487,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","FOR26","FOR",0,2,5,"2452-83",6.0812,2.2721,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","WT39","WT",0,4,5,"71-3",5.2741,2.2795,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"98","8","AC20","AC",0,NA,NA,"2851-98",2.3942,2.2851,NA,NA,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","HTR1","HTR",0,3,0,"1167-40",3.7624,2.3332,NA,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","KA7","KA",0,4,11,"693-25",8.4678,2.3833,0.181818181818182,2,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","RBE17","RBE",1,8,17,"359-13",8,2.4,0.352941176470588,6,"GH","ESC-greenhouse","Simonsen",NA,NA
"36","3","WR31","WR",0,3,7,"1028-36",10.3258,2.4353,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","HTD2","HTD",1,5,NA,"2316-79",6.8,2.44,NA,NA,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","FOR43","FOR",0,3,4,"1161-40",5.2771,2.4455,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","WR40a","WR",0,2,8,"1200-41",5.3663,2.4836,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"57","5","RBE38","RBE",0,3,14,"1675-57",7.0122,2.5012,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","FOR26","FOR",0,6,34,"2679-92",10.9929,2.5155,0.558823529411765,19,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","FZ17","FZ",1,7,39,"2451-83",7.3,2.8,0.461538461538462,18,"GH","ESC-greenhouse","Simonsen",NA,NA
"36","3","FOR43","FOR",0,3,12,"1044-36",6.6674,2.8277,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","HTR30","HTR",1,6,0,"1168-40",6,2.9,NA,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"28","3","DE7","DE",1,7,39,"801-28",9.8,3,0.461538461538462,18,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","HTR25","HTR",1,5,NA,"938-33",5,3.1,NA,NA,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","FOR15","FOR",1,7,31,"932-33",5.92,3.1,0.354838709677419,11,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","HTR30","HTR",0,2,3,"2431-83",6.4933,3.1055,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"31","3","AC3","AC",0,3,5,"879-31",4.4799,3.2344,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"7","1","DU4","DU",0,3,5,"206-7",10.6827,3.3932,1,5,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","HTR30","HTR",1,6,2,"1164-40",4.7,3.4,0.5,1,"GH","ESC-greenhouse","Simonsen",NA,NA
"69","6","FOR43","FOR",1,13,60,"1978-69",16.3,3.44,0.733333333333333,44,"GH","ESC-greenhouse","Simonsen",NA,NA
"31","3","HTR1","HTR",1,7,63,"884-31",7.06,3.5,0.634920634920635,40,"GH","ESC-greenhouse","Simonsen",NA,NA
"80","7","KA7","KA",1,7,98,"2357-80",16.4,3.5,0.448979591836735,44,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","WT39","WT",1,7,89,"2315-79",12.6,3.6,0.617977528089888,55,"GH","ESC-greenhouse","Simonsen",NA,NA
"6","1","FZ24","FZ",1,6,29,"165-6",16,3.6,0.689655172413793,20,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","HTR25","HTR",1,6,120,"2317-79",9.5,3.7,0.625,75,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","RBE17","RBE",0,2,8,"1192-41",7.2914,3.9305,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","HTR25","HTR",1,9,81,"2661-92",13.4,4.1,0.234567901234568,19,"GH","ESC-greenhouse","Simonsen",NA,NA
"36","3","DE7","DE",1,6,41,"1042-36",7.75,4.2,0.292682926829268,12,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","RBE38","RBE",1,8,96,"2666-92",13.6,4.2,0.46875,45,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","WR31","WR",1,7,96,"2663-92",16.5,4.2,0.6875,66,"GH","ESC-greenhouse","Simonsen",NA,NA
"93","8","FOR15","FOR",1,7,63,"2711-93",17.6,4.3,0.714285714285714,45,"GH","ESC-greenhouse","Simonsen",NA,NA
"75","6","DE7","DE",1,9,53,"2198-75",9,4.4,0.69811320754717,37,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","HTD2","HTD",1,10,32,"1197-41",18,4.44,0.28125,9,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","RBE17","RBE",0,3,0,"1174-40",9.6868,4.5581,NA,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","KA16","KA",1,6,81,"2676-92",14.793,4.6,0.296296296296296,24,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","FOR43","FOR",1,9,116,"365-13",15.9,4.7,0.362068965517241,42,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","AC15","AC",1,8,72,"949-33",13,4.9,0.527777777777778,38,"GH","ESC-greenhouse","Simonsen",NA,NA
"68","6","WT18","WT",1,8,100,"1965-68",22,4.9,0.52,52,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","FZ19","FZ",1,9,NA,"2439-83",11.1,5.02,NA,NA,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","AC15","AC",1,9,120,"700-25",23,5.5,0.408333333333333,49,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","FOR26","FOR",1,7,53,"364-13",17.2,5.8,0.716981132075472,38,"GH","ESC-greenhouse","Simonsen",NA,NA
"46","4","FOR15","FOR",1,8,89,"1336-46",24,5.8,0.606741573033708,54,"GH","ESC-greenhouse","Simonsen",NA,NA
"35","3","KA7","KA",1,8,99,"1015-35",22.33,6,0.292929292929293,29,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","FZ19","FZ",1,8,133,"2074-72",13.7,6.1,0.56390977443609,75,"GH","ESC-greenhouse","Simonsen",NA,NA
"93","8","FOR43","FOR",1,11,158,"2694-93",23.4,6.5,0.569620253164557,90,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","FZ19","FZ",1,8,176,"2658-92",15.5,6.7,0.363636363636364,64,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","RBE34","RBE",1,11,68,"928-33",16,6.91,0.632352941176471,43,"GH","ESC-greenhouse","Simonsen",NA,NA
"98","8","HTD28","HTD",1,9,30,"2838-98",21.1,7,1,30,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","HTR1","HTR",1,9,130,"430-15",16.5,7.3,0.7,91,"GH","ESC-greenhouse","Simonsen",NA,NA
"39","4","WT30","WT",1,9,116,"1133-39",17.7,7.3,0.28448275862069,33,"GH","ESC-greenhouse","Simonsen",NA,NA
"17","2","WR31","WR",1,9,139,"481-17",22.5,7.4,0.589928057553957,82,"GH","ESC-greenhouse","Simonsen",NA,NA
"68","6","DE15","DE",1,9,31,"1974-68",22,7.6,0.870967741935484,27,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","RBE17","RBE",1,9,49,"2307-79",15.3,7.8,0.673469387755102,33,"GH","ESC-greenhouse","Simonsen",NA,NA
"80","7","HTR1","HTR",1,10,199,"2355-80",19.4,7.8,0.447236180904523,89,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","KA16","KA",1,8,80,"373-13",24.1,7.9,0.5,40,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","AC3","AC",1,9,108,"66-3",25,7.9,0.611111111111111,66,"GH","ESC-greenhouse","Simonsen",NA,NA
"31","3","FOR43","FOR",1,15,132,"888-31",26,8,0.712121212121212,94,"GH","ESC-greenhouse","Simonsen",NA,NA
"24","3","RBE34","RBE",1,11,120,"679-24",23.7,8.1,0.433333333333333,52,"GH","ESC-greenhouse","Simonsen",NA,NA
"98","8","WR40a","WR",1,10,76,"2857-98",23.8,8.4,0.815789473684211,62,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","AC3","AC",1,10,100,"701-25",29,8.5,0.48,48,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","RBE17","RBE",0,6,75,"930-33",18.6655,8.817,0.293333333333333,22,"GH","ESC-greenhouse","Simonsen",NA,NA
"7","1","RBE17","RBE",1,8,134,"193-7",26.1,9.1,0.649253731343284,87,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","WT39","WT",1,9,137,"2079-72",26.7,9.1,0.45985401459854,63,"GH","ESC-greenhouse","Simonsen",NA,NA
"17","2","AC15","AC",1,9,59,"499-17",31,9.3,0.576271186440678,34,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","FOR15","FOR",1,7,135,"93-3",26,9.4,0.42962962962963,58,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","FOR26","FOR",1,10,93,"2093-72",20.2,9.6,0.731182795698925,68,"GH","ESC-greenhouse","Simonsen",NA,NA
"22","2","AC3","AC",1,2,235,"625-22",27.7,9.6,0.365957446808511,86,"GH","ESC-greenhouse","Simonsen",NA,NA
"6","1","AC15","AC",1,9,123,"162-6",38,9.6,0.504065040650407,62,"GH","ESC-greenhouse","Simonsen",NA,NA
"61","5","FZ19","FZ",1,11,149,"1801-61",23,9.7,0.697986577181208,104,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","FOR15","FOR",1,10,200,"2300-79",27.9,9.7,0.625,125,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","RBE38","RBE",1,11,136,"952-33",28,9.8,0.669117647058824,91,"GH","ESC-greenhouse","Simonsen",NA,NA
"52","4","FOR26","FOR",1,11,130,"1519-52",37,10.2,0.769230769230769,100,"GH","ESC-greenhouse","Simonsen",NA,NA
"7","1","HTR1","HTR",1,9,189,"180-7",25.1,10.4,0.439153439153439,83,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","FZ24","FZ",1,10,75,"412-15",33.2,10.4,0.64,48,"GH","ESC-greenhouse","Simonsen",NA,NA
"52","4","FZ19","FZ",1,11,215,"1513-52",24,10.8,0.595348837209302,128,"GH","ESC-greenhouse","Simonsen",NA,NA
"31","3","WT18","WT",1,9,102,"872-31",21.2,10.9,0.333333333333333,34,"GH","ESC-greenhouse","Simonsen",NA,NA
"28","3","DE15","DE",1,11,96,"790-28",24.5,11,0.458333333333333,44,"GH","ESC-greenhouse","Simonsen",NA,NA
"17","2","KA7","KA",1,11,187,"477-17",23.3,11.1,0.3475935828877,65,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","FZ17","FZ",1,10,126,"939-33",16,11.3,0.531746031746032,67,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","HTR30","HTR",1,10,280,"2096-72",22.6,11.7,0.403571428571429,113,"GH","ESC-greenhouse","Simonsen",NA,NA
"93","8","FZ17","FZ",1,9,168,"2715-93",29.9,11.7,0.75,126,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","AC3","AC",1,10,145,"1180-41",23.9,11.9,0.703448275862069,102,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","AC20","AC",1,9,148,"417-15",32,12.2,0.689189189189189,102,"GH","ESC-greenhouse","Simonsen",NA,NA
"85","7","DE15","DE",1,11,146,"2481-85",42.5,12.3,0.712328767123288,104,"GH","ESC-greenhouse","Simonsen",NA,NA
"31","3","HTD28","HTD",1,8,84,"894-31",28,12.8,0.904761904761905,76,"GH","ESC-greenhouse","Simonsen",NA,NA
"53","5","HTR30","HTR",1,11,156,"1559-53",37,12.8,0.621794871794872,97,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","KA16","KA",1,10,56,"957-33",24,12.9,0.785714285714286,44,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","HTD28","HTD",1,10,63,"90-3",31,12.9,0.857142857142857,54,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","AC20","AC",1,10,270,"2450-83",46.6,12.9,0.625925925925926,169,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","KA16","KA",1,10,187,"2435-83",44.9,12.98,0.737967914438503,138,"GH","ESC-greenhouse","Simonsen",NA,NA
"53","5","WR31","WR",1,10,156,"1544-53",49,13.1,0.474358974358974,74,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","WR40a","WR",1,10,174,"702-25",42,13.2,0.568965517241379,99,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","DE7","DE",1,8,138,"429-15",27.2,13.28,0.72463768115942,100,"GH","ESC-greenhouse","Simonsen",NA,NA
"5","1","RBE34","RBE",1,11,102,"143-5",36,14,0.686274509803922,70,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","WR40a","WR",1,9,124,"75-3",39,14.1,0.540322580645161,67,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","FZ17","FZ",1,10,143,"2099-72",32.4,15,0.559440559440559,80,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","HTD2","HTD",1,11,167,"951-33",33,15.9,0.682634730538922,114,"GH","ESC-greenhouse","Simonsen",NA,NA
"22","2","WR40a","WR",1,10,217,"622-22",39.5,16.1,0.63594470046083,138,"GH","ESC-greenhouse","Simonsen",NA,NA
"22","2","DE15","DE",1,14,241,"618-22",47.4,16.1,0.663900414937759,160,"GH","ESC-greenhouse","Simonsen",NA,NA
"7","1","KA16","KA",1,8,199,"183-7",31.2,16.3,0.693467336683417,138,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","KA16","KA",1,10,260,"2081-72",28.3,16.9,0.719230769230769,187,"GH","ESC-greenhouse","Simonsen",NA,NA
"24","3","WR31","WR",1,12,210,"690-24",65.8,17.1,0.60952380952381,128,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","WT30","WT",1,11,139,"425-15",45.3,17.4,0.62589928057554,87,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","FZ24","FZ",1,11,315,"2673-92",38.4,17.7,0.393650793650794,124,"GH","ESC-greenhouse","Simonsen",NA,NA
"53","5","DE7","DE",1,10,193,"1564-53",39,17.7,0.492227979274611,95,"GH","ESC-greenhouse","Simonsen",NA,NA
"61","5","WR40a","WR",1,14,135,"1782-61",64,17.8,0.696296296296296,94,"GH","ESC-greenhouse","Simonsen",NA,NA
"35","3","HTR25","HTR",1,8,115,"997-35",40,17.9,0.339130434782609,39,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","WT18","WT",1,10,151,"1148-40",43.1,18.3,0.589403973509934,89,"GH","ESC-greenhouse","Simonsen",NA,NA
"17","2","RBE38","RBE",1,12,84,"485-17",46.2,19.1,0.75,63,"GH","ESC-greenhouse","Simonsen",NA,NA
"75","6","AC15","AC",1,9,186,"2179-75",54.8,19.5,0.580645161290323,108,"GH","ESC-greenhouse","Simonsen",NA,NA
"39","4","WR31","WR",1,8,170,"1143-39",39,19.8,0.482352941176471,82,"GH","ESC-greenhouse","Simonsen",NA,NA
"24","3","FZ17","FZ",1,11,175,"682-24",50.4,19.8,0.48,84,"GH","ESC-greenhouse","Simonsen",NA,NA
"57","5","KA7","KA",1,9,217,"1657-57",70.8,21,0.714285714285714,155,"GH","ESC-greenhouse","Simonsen",NA,NA
"36","3","FZ19","FZ",1,11,230,"1047-36",35.5,21.5,0.61304347826087,141,"GH","ESC-greenhouse","Simonsen",NA,NA
"28","3","WT30","WT",1,10,544,"795-28",44,21.5,0.430147058823529,234,"GH","ESC-greenhouse","Simonsen",NA,NA
"48","4","WT30","WT",1,9,462,"1422-48",47.8,21.5,0.452380952380952,209,"GH","ESC-greenhouse","Simonsen",NA,NA
"39","4","RBE34","RBE",1,13,196,"1128-39",48.4,21.8,0.352040816326531,69,"GH","ESC-greenhouse","Simonsen",NA,NA
"69","6","HTD28","HTD",1,12,373,"1997-69",62,22.3,0.788203753351206,294,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","AC20","AC",1,18,59,"1176-40",68.2,22.4,0.76271186440678,45,"GH","ESC-greenhouse","Simonsen",NA,NA
"62","5","RBE17","RBE",1,14,180,"1812-62",94,22.8,0.577777777777778,104,"GH","ESC-greenhouse","Simonsen",NA,NA
"61","5","HTD28","HTD",1,16,249,"1806-61",54,23.1,0.843373493975904,210,"GH","ESC-greenhouse","Simonsen",NA,NA
"61","5","HTR25","HTR",1,16,185,"1793-61",53,23.5,0.686486486486486,127,"GH","ESC-greenhouse","Simonsen",NA,NA
"6","1","KA7","KA",1,16,221,"173-6",61.8,25.5,0.891402714932127,197,"GH","ESC-greenhouse","Simonsen",NA,NA
"94","8","DE15","DE",1,12,266,"2731-94",69.2,26,0.714285714285714,190,"GH","ESC-greenhouse","Simonsen",NA,NA
"17","2","HTD28","HTD",1,13,194,"490-17",51.5,26.1,0.881443298969072,171,"GH","ESC-greenhouse","Simonsen",NA,NA
"69","6","RBE38","RBE",1,10,242,"1984-69",80,28,0.735537190082645,178,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","KA16","KA",1,13,281,"1187-41",59.4,28.1,0.761565836298932,214,"GH","ESC-greenhouse","Simonsen",NA,NA
"52","4","DU4","DU",1,12,333,"1533-52",63,29.2,0.870870870870871,290,"GH","ESC-greenhouse","Simonsen",NA,NA
"39","4","KA7","KA",1,11,571,"1118-39",76,29.2,0.355516637478109,203,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","AC15","AC",1,10,263,"1209-41",63.1,30.2,0.752851711026616,198,"GH","ESC-greenhouse","Simonsen",NA,NA
"5","1","WT30","WT",1,10,220,"142-5",67,30.4,0.45,99,"GH","ESC-greenhouse","Simonsen",NA,NA
"48","4","DE15","DE",1,13,279,"1400-48",80.2,30.7,0.612903225806452,171,"GH","ESC-greenhouse","Simonsen",NA,NA
"57","5","FZ24","FZ",1,10,212,"1651-57",74.8,31.7,0.683962264150943,145,"GH","ESC-greenhouse","Simonsen",NA,NA
"75","6","FOR15","FOR",1,18,315,"2173-75",111.8,32.7,0.711111111111111,224,"GH","ESC-greenhouse","Simonsen",NA,NA
"48","4","DE7","DE",1,9,324,"1409-48",45.2,32.8,0.524691358024691,170,"GH","ESC-greenhouse","Simonsen",NA,NA
"36","3","RBE38","RBE",1,14,198,"1043-36",71.5,32.9,0.666666666666667,132,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","HTD28","HTD",1,11,332,"931-33",59,33,0.840361445783133,279,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","WT30","WT",1,15,333,"954-33",85,33.9,0.576576576576577,192,"GH","ESC-greenhouse","Simonsen",NA,NA
"69","6","FZ24","FZ",1,12,425,"2004-69",120,34.7,0.668235294117647,284,"GH","ESC-greenhouse","Simonsen",NA,NA
"62","5","FOR43","FOR",1,21,366,"1817-62",118,36.7,0.614754098360656,225,"GH","ESC-greenhouse","Simonsen",NA,NA
"36","3","AC20","AC",1,16,184,"1048-36",83.7,36.9,0.695652173913043,128,"GH","ESC-greenhouse","Simonsen",NA,NA
"35","3","KA16","KA",1,9,286,"1006-35",110,41.4,0.475524475524476,136,"GH","ESC-greenhouse","Simonsen",NA,NA
"45","4","AC20","AC",1,18,194,"1334-45",105,43,0.871134020618557,169,"GH","ESC-greenhouse","Simonsen",NA,NA
